episode,distance,duration_ticks,crashed,epsilon
390,3580.00,358,True,0.8184
391,8200.00,820,True,0.8179
392,2100.00,210,True,0.8178
393,5680.00,568,True,0.8175
394,3740.00,374,True,0.8174
395,4340.00,434,True,0.8171
396,5940.00,594,True,0.8168
397,2940.00,294,True,0.8167
398,2890.00,289,True,0.8165
399,3770.00,377,True,0.8163
400,11140.00,1114,True,0.8158
401,3260.00,326,True,0.8156
402,3730.00,373,True,0.8154
403,2690.00,269,True,0.8153
404,2140.00,214,True,0.8152
405,2420.00,242,True,0.8150
406,3340.00,334,True,0.8149
407,2390.00,239,True,0.8148
408,4300.00,430,True,0.8145
409,3280.00,328,True,0.8144
410,2930.00,293,True,0.8142
411,1980.00,198,True,0.8141
412,7460.00,746,True,0.8137
413,4420.00,442,True,0.8135
414,2880.00,288,True,0.8134
415,4820.00,482,True,0.8131
416,3400.00,340,True,0.8129
417,3090.00,309,True,0.8128
418,1800.00,180,True,0.8127
419,2770.00,277,True,0.8126
420,2340.00,234,True,0.8124
421,6300.00,630,True,0.8121
422,4010.00,401,True,0.8119
423,5110.00,511,True,0.8117
424,7510.00,751,True,0.8113
425,4280.00,428,True,0.8111
426,2120.00,212,True,0.8109
427,2960.00,296,True,0.8108
428,3200.00,320,True,0.8106
429,3610.00,361,True,0.8105
430,4280.00,428,True,0.8102
431,1970.00,197,True,0.8101
432,3200.00,320,True,0.8100
433,3430.00,343,True,0.8098
434,5750.00,575,True,0.8095
435,3490.00,349,True,0.8093
436,3310.00,331,True,0.8092
437,4880.00,488,True,0.8089
438,4880.00,488,True,0.8087
439,1850.00,185,True,0.8086
440,4080.00,408,True,0.8084
441,2440.00,244,True,0.8082
442,2560.00,256,True,0.8081
443,4030.00,403,True,0.8079
444,3150.00,315,True,0.8078
445,8820.00,882,True,0.8073
446,8280.00,828,True,0.8069
447,4850.00,485,True,0.8066
448,6960.00,696,True,0.8063
449,3360.00,336,True,0.8061
450,3730.00,373,True,0.8059
451,4260.00,426,True,0.8057
452,1950.00,195,True,0.8056
453,2980.00,298,True,0.8055
454,3420.00,342,True,0.8053
455,10490.00,1049,True,0.8048
456,8550.00,855,True,0.8043
457,3260.00,326,True,0.8042
458,4130.00,413,True,0.8040
459,2950.00,295,True,0.8038
460,4940.00,494,True,0.8036
461,2540.00,254,True,0.8034
462,13570.00,1357,True,0.8028
463,3440.00,344,True,0.8026
